Date,Country,Continent,Population,Weekly_New_Cases,Weekly_New_Deaths,Cumulative_Cases,Cumulative_Deaths,Cases_Per_Million,Deaths_Per_Million,Case_Fatality_Rate_Pct,Vaccinated_Pct,Recovery_Rate_Pct
2022-01-23,Brazil,South America,213000000,11439,252,1078998,17493,5065.72,82.13,1.621,67.29,98.38
2022-01-30,Brazil,South America,213000000,10650,196,1089648,17689,5115.72,83.05,1.623,68.91,98.38
2022-02-06,Brazil,South America,213000000,9909,107,1099557,17796,5162.24,83.55,1.618,70.13,98.38
2022-02-13,Brazil,South America,213000000,13937,268,1113494,18064,5227.67,84.81,1.622,71.62,98.38
2022-02-20,Brazil,South America,213000000,14489,314,1127983,18378,5295.69,86.28,1.629,73.17,98.37
2022-02-27,Brazil,South America,213000000,14400,165,1142383,18543,5363.3,87.06,1.623,74.44,98.38
2022-03-06,Brazil,South America,213000000,9965,89,1152348,18632,5410.08,87.47,1.617,75.95,98.38
2022-03-13,Brazil,South America,213000000,14277,123,1166625,18755,5477.11,88.05,1.608,77.23,98.39
2022-03-20,Brazil,South America,213000000,10731,256,1177356,19011,5527.49,89.25,1.615,78.62,98.39
2022-03-27,Brazil,South America,213000000,10814,94,1188170,19105,5578.26,89.69,1.608,79.91,98.39
2022-04-03,Brazil,South America,213000000,13530,330,1201700,19435,5641.78,91.24,1.617,81.11,98.38
2022-04-10,Brazil,South America,213000000,12918,243,1214618,19678,5702.43,92.38,1.62,82.83,98.38
2022-04-17,Brazil,South America,213000000,9574,160,1224192,19838,5747.38,93.14,1.62,84.32,98.38
2022-04-24,Brazil,South America,213000000,10459,108,1234651,19946,5796.48,93.64,1.616,85.54,98.38
2022-05-01,Brazil,South America,213000000,8106,161,1242757,20107,5834.54,94.4,1.618,86.86,98.38
2022-05-08,Brazil,South America,213000000,9722,238,1252479,20345,5880.18,95.52,1.624,88.12,98.38
2022-05-15,Brazil,South America,213000000,9315,144,1261794,20489,5923.92,96.19,1.624,89.84,98.38
2022-05-22,Brazil,South America,213000000,6504,128,1268298,20617,5954.45,96.79,1.626,91.54,98.37
2022-05-29,Brazil,South America,213000000,9736,190,1278034,20807,6000.16,97.69,1.628,92.0,98.37
2022-06-05,Brazil,South America,213000000,8081,184,1286115,20991,6038.1,98.55,1.632,92.0,98.37
2022-06-12,Brazil,South America,213000000,5673,135,1291788,21126,6064.73,99.18,1.635,92.0,98.36
2022-06-19,Brazil,South America,213000000,9114,106,1300902,21232,6107.52,99.68,1.632,92.0,98.37
2022-06-26,Brazil,South America,213000000,8030,153,1308932,21385,6145.22,100.4,1.634,92.0,98.37
2022-07-03,Brazil,South America,213000000,9746,243,1318678,21628,6190.98,101.54,1.64,92.0,98.36
2022-07-10,Brazil,South America,213000000,11858,176,1330536,21804,6246.65,102.37,1.639,92.0,98.36
2022-07-17,Brazil,South America,213000000,11138,196,1341674,22000,6298.94,103.29,1.64,92.0,98.36
2022-07-24,Brazil,South America,213000000,12047,179,1353721,22179,6355.5,104.13,1.638,92.0,98.36
2022-07-31,Brazil,South America,213000000,11114,241,1364835,22420,6407.68,105.26,1.643,92.0,98.36
2022-08-07,Brazil,South America,213000000,12218,188,1377053,22608,6465.04,106.14,1.642,92.0,98.36
2022-08-14,Brazil,South America,213000000,8200,141,1385253,22749,6503.54,106.8,1.642,92.0,98.36
2022-08-21,Brazil,South America,213000000,9715,138,1394968,22887,6549.15,107.45,1.641,92.0,98.36
2022-08-28,Brazil,South America,213000000,12381,180,1407349,23067,6607.27,108.3,1.639,92.0,98.36
2022-09-04,Brazil,South America,213000000,9511,136,1416860,23203,6651.92,108.93,1.638,92.0,98.36
2022-09-11,Brazil,South America,213000000,8539,155,1425399,23358,6692.01,109.66,1.639,92.0,98.36
2022-09-18,Brazil,South America,213000000,12486,198,1437885,23556,6750.63,110.59,1.638,92.0,98.36
2022-09-25,Brazil,South America,213000000,14378,241,1452263,23797,6818.14,111.72,1.639,92.0,98.36
2022-10-02,Brazil,South America,213000000,8541,117,1460804,23914,6858.23,112.27,1.637,92.0,98.36
2022-10-09,Brazil,South America,213000000,11324,202,1472128,24116,6911.4,113.22,1.638,92.0,98.36
2022-10-16,Brazil,South America,213000000,12938,271,1485066,24387,6972.14,114.49,1.642,92.0,98.36
2022-10-23,Brazil,South America,213000000,13828,335,1498894,24722,7037.06,116.07,1.649,92.0,98.35
2022-10-30,Brazil,South America,213000000,10041,81,1508935,24803,7084.2,116.45,1.644,92.0,98.36
2022-11-06,Brazil,South America,213000000,15259,185,1524194,24988,7155.84,117.31,1.639,92.0,98.36
2022-11-13,Brazil,South America,213000000,9077,216,1533271,25204,7198.46,118.33,1.644,92.0,98.36
2022-11-20,Brazil,South America,213000000,9375,152,1542646,25356,7242.47,119.04,1.644,92.0,98.36
2022-11-27,Brazil,South America,213000000,10704,141,1553350,25497,7292.72,119.7,1.641,92.0,98.36
2022-12-04,Brazil,South America,213000000,12526,166,1565876,25663,7351.53,120.48,1.639,92.0,98.36
2022-12-11,Brazil,South America,213000000,13741,173,1579617,25836,7416.04,121.3,1.636,92.0,98.36
2022-12-18,Brazil,South America,213000000,9329,103,1588946,25939,7459.84,121.78,1.632,92.0,98.37
2022-12-25,Brazil,South America,213000000,9664,163,1598610,26102,7505.21,122.54,1.633,92.0,98.37
2023-01-01,Brazil,South America,213000000,9021,159,1607631,26261,7547.56,123.29,1.634,92.0,98.37
2023-01-08,Brazil,South America,213000000,14877,241,1622508,26502,7617.41,124.42,1.633,92.0,98.37
2023-01-15,Brazil,South America,213000000,11803,103,1634311,26605,7672.82,124.91,1.628,92.0,98.37
2023-01-22,Brazil,South America,213000000,14297,260,1648608,26865,7739.94,126.13,1.63,92.0,98.37
2023-01-29,Brazil,South America,213000000,13561,161,1662169,27026,7803.61,126.88,1.626,92.0,98.37
2023-02-05,Brazil,South America,213000000,11487,172,1673656,27198,7857.54,127.69,1.625,92.0,98.38
2023-02-12,Brazil,South America,213000000,13019,182,1686675,27380,7918.66,128.54,1.623,92.0,98.38
2023-02-19,Brazil,South America,213000000,11924,151,1698599,27531,7974.64,129.25,1.621,92.0,98.38
2023-02-26,Brazil,South America,213000000,9441,182,1708040,27713,8018.97,130.11,1.623,92.0,98.38
2023-03-05,Brazil,South America,213000000,10272,161,1718312,27874,8067.19,130.86,1.622,92.0,98.38
2023-03-12,Brazil,South America,213000000,7375,151,1725687,28025,8101.82,131.57,1.624,92.0,98.38
2023-03-19,Brazil,South America,213000000,7336,70,1733023,28095,8136.26,131.9,1.621,92.0,98.38
2023-03-26,Brazil,South America,213000000,9169,167,1742192,28262,8179.31,132.69,1.622,92.0,98.38
2023-04-02,Brazil,South America,213000000,6749,98,1748941,28360,8210.99,133.15,1.622,92.0,98.38
2023-04-09,Brazil,South America,213000000,7605,188,1756546,28548,8246.69,134.03,1.625,92.0,98.38
2023-04-16,Brazil,South America,213000000,8020,119,1764566,28667,8284.35,134.59,1.625,92.0,98.38
2023-04-23,Brazil,South America,213000000,7602,150,1772168,28817,8320.04,135.29,1.626,92.0,98.37
2023-04-30,Brazil,South America,213000000,4860,47,1777028,28864,8342.85,135.51,1.624,92.0,98.38
2023-05-07,Brazil,South America,213000000,6042,76,1783070,28940,8371.22,135.87,1.623,92.0,98.38
2023-05-14,Brazil,South America,213000000,3963,91,1787033,29031,8389.83,136.3,1.625,92.0,98.38
2023-05-21,Brazil,South America,213000000,4260,50,1791293,29081,8409.83,136.53,1.623,92.0,98.38
2023-05-28,Brazil,South America,213000000,3148,52,1794441,29133,8424.61,136.77,1.624,92.0,98.38
2023-06-04,Brazil,South America,213000000,4428,53,1798869,29186,8445.39,137.02,1.622,92.0,98.38
2023-06-11,Brazil,South America,213000000,4467,85,1803336,29271,8466.37,137.42,1.623,92.0,98.38
2023-06-18,Brazil,South America,213000000,3144,42,1806480,29313,8481.13,137.62,1.623,92.0,98.38
2023-06-25,Brazil,South America,213000000,4387,84,1810867,29397,8501.72,138.01,1.623,92.0,98.38
2023-07-02,Brazil,South America,213000000,3695,58,1814562,29455,8519.07,138.29,1.623,92.0,98.38
2023-07-09,Brazil,South America,213000000,3217,78,1817779,29533,8534.17,138.65,1.625,92.0,98.38
2023-07-16,Brazil,South America,213000000,3286,37,1821065,29570,8549.6,138.83,1.624,92.0,98.38
2023-07-23,Brazil,South America,213000000,2118,33,1823183,29603,8559.54,138.98,1.624,92.0,98.38
2023-07-30,Brazil,South America,213000000,2393,46,1825576,29649,8570.78,139.2,1.624,92.0,98.38
2023-08-06,Brazil,South America,213000000,3103,37,1828679,29686,8585.35,139.37,1.623,92.0,98.38
2023-08-13,Brazil,South America,213000000,1822,45,1830501,29731,8593.9,139.58,1.624,92.0,98.38
2023-08-20,Brazil,South America,213000000,2569,57,1833070,29788,8605.96,139.85,1.625,92.0,98.38
2023-08-27,Brazil,South America,213000000,3311,31,1836381,29819,8621.51,140.0,1.624,92.0,98.38
2023-09-03,Brazil,South America,213000000,2836,62,1839217,29881,8634.82,140.29,1.625,92.0,98.38
2023-09-10,Brazil,South America,213000000,4746,40,1843963,29921,8657.1,140.47,1.623,92.0,98.38
2023-09-17,Brazil,South America,213000000,4098,57,1848061,29978,8676.34,140.74,1.622,92.0,98.38
2023-09-24,Brazil,South America,213000000,6728,117,1854789,30095,8707.93,141.29,1.623,92.0,98.38
2023-10-01,Brazil,South America,213000000,5512,86,1860301,30181,8733.81,141.69,1.622,92.0,98.38
2023-10-08,Brazil,South America,213000000,6473,152,1866774,30333,8764.2,142.41,1.625,92.0,98.38
2023-10-15,Brazil,South America,213000000,8988,201,1875762,30534,8806.39,143.35,1.628,92.0,98.37
2023-10-22,Brazil,South America,213000000,9381,93,1885143,30627,8850.44,143.79,1.625,92.0,98.38
2023-10-29,Brazil,South America,213000000,7389,169,1892532,30796,8885.13,144.58,1.627,92.0,98.37
2023-11-05,Brazil,South America,213000000,10001,214,1902533,31010,8932.08,145.59,1.63,92.0,98.37
2023-11-12,Brazil,South America,213000000,6682,99,1909215,31109,8963.45,146.05,1.629,92.0,98.37
2023-11-19,Brazil,South America,213000000,10489,145,1919704,31254,9012.69,146.73,1.628,92.0,98.37
2023-11-26,Brazil,South America,213000000,10670,234,1930374,31488,9062.79,147.83,1.631,92.0,98.37
2023-12-03,Brazil,South America,213000000,12499,296,1942873,31784,9121.47,149.22,1.636,92.0,98.36
2023-12-10,Brazil,South America,213000000,11364,238,1954237,32022,9174.82,150.34,1.639,92.0,98.36
2023-12-17,Brazil,South America,213000000,11095,163,1965332,32185,9226.91,151.1,1.638,92.0,98.36
2023-12-24,Brazil,South America,213000000,10545,96,1975877,32281,9276.42,151.55,1.634,92.0,98.37
2023-12-31,Brazil,South America,213000000,9227,224,1985104,32505,9319.74,152.61,1.637,92.0,98.36
2020-01-05,United Kingdom,Europe,67000000,4672,84,4672,84,69.73,1.25,1.798,0.0,98.2
2020-01-12,United Kingdom,Europe,67000000,8115,185,12787,269,190.85,4.01,2.104,0.0,97.9
2020-01-19,United Kingdom,Europe,67000000,5905,132,18692,401,278.99,5.99,2.145,0.0,97.86
2020-01-26,United Kingdom,Europe,67000000,5034,41,23726,442,354.12,6.6,1.863,0.0,98.14
2020-02-02,United Kingdom,Europe,67000000,8024,113,31750,555,473.88,8.28,1.748,0.0,98.25
2020-02-09,United Kingdom,Europe,67000000,7380,129,39130,684,584.03,10.21,1.748,0.0,98.25
2020-02-16,United Kingdom,Europe,67000000,6741,78,45871,762,684.64,11.37,1.661,0.0,98.34
2020-02-23,United Kingdom,Europe,67000000,8532,177,54403,939,811.99,14.01,1.726,0.0,98.27
2020-03-01,United Kingdom,Europe,67000000,9584,125,63987,1064,955.03,15.88,1.663,0.0,98.34
2020-03-08,United Kingdom,Europe,67000000,8874,96,72861,1160,1087.48,17.31,1.592,0.0,98.41
2020-03-15,United Kingdom,Europe,67000000,7126,151,79987,1311,1193.84,19.57,1.639,0.0,98.36
2020-03-22,United Kingdom,Europe,67000000,8473,93,88460,1404,1320.3,20.96,1.587,0.0,98.41
2020-03-29,United Kingdom,Europe,67000000,11307,209,99767,1613,1489.06,24.07,1.617,0.0,98.38
2020-04-05,United Kingdom,Europe,67000000,11238,133,111005,1746,1656.79,26.06,1.573,0.0,98.43
2020-04-12,United Kingdom,Europe,67000000,8947,105,119952,1851,1790.33,27.63,1.543,0.0,98.46
2020-04-19,United Kingdom,Europe,67000000,8759,167,128711,2018,1921.06,30.12,1.568,0.0,98.43
2020-04-26,United Kingdom,Europe,67000000,13430,272,142141,2290,2121.51,34.18,1.611,0.0,98.39
2020-05-03,United Kingdom,Europe,67000000,13294,197,155435,2487,2319.93,37.12,1.6,0.0,98.4
2020-05-10,United Kingdom,Europe,67000000,12558,176,167993,2663,2507.36,39.75,1.585,0.0,98.42
2020-05-17,United Kingdom,Europe,67000000,11839,191,179832,2854,2684.06,42.6,1.587,0.0,98.41
2020-05-24,United Kingdom,Europe,67000000,9519,138,189351,2992,2826.13,44.66,1.58,0.0,98.42
2020-05-31,United Kingdom,Europe,67000000,15260,186,204611,3178,3053.9,47.43,1.553,0.0,98.45
2020-06-07,United Kingdom,Europe,67000000,9400,142,214011,3320,3194.19,49.55,1.551,0.0,98.45
2020-06-14,United Kingdom,Europe,67000000,14251,255,228262,3575,3406.9,53.36,1.566,0.0,98.43
2020-06-21,United Kingdom,Europe,67000000,13533,151,241795,3726,3608.88,55.61,1.541,0.0,98.46
2020-06-28,United Kingdom,Europe,67000000,13132,177,254927,3903,3804.88,58.25,1.531,0.0,98.47
2020-07-05,United Kingdom,Europe,67000000,14751,275,269678,4178,4025.04,62.36,1.549,0.0,98.45
2020-07-12,United Kingdom,Europe,67000000,10074,91,279752,4269,4175.4,63.72,1.526,0.0,98.47
2020-07-19,United Kingdom,Europe,67000000,8913,127,288665,4396,4308.43,65.61,1.523,0.0,98.48
2020-07-26,United Kingdom,Europe,67000000,10530,199,299195,4595,4465.6,68.58,1.536,0.0,98.46
2020-08-02,United Kingdom,Europe,67000000,12194,152,311389,4747,4647.6,70.85,1.524,0.0,98.48
2020-08-09,United Kingdom,Europe,67000000,9573,97,320962,4844,4790.48,72.3,1.509,0.0,98.49
2020-08-16,United Kingdom,Europe,67000000,14662,177,335624,5021,5009.31,74.94,1.496,0.0,98.5
2020-08-23,United Kingdom,Europe,67000000,12998,283,348622,5304,5203.31,79.16,1.521,0.0,98.48
2020-08-30,United Kingdom,Europe,67000000,12584,284,361206,5588,5391.13,83.4,1.547,0.0,98.45
2020-09-06,United Kingdom,Europe,67000000,10871,263,372077,5851,5553.39,87.33,1.573,0.0,98.43
2020-09-13,United Kingdom,Europe,67000000,8925,86,381002,5937,5686.6,88.61,1.558,0.0,98.44
2020-09-20,United Kingdom,Europe,67000000,12318,295,393320,6232,5870.45,93.01,1.584,0.0,98.42
2020-09-27,United Kingdom,Europe,67000000,13075,121,406395,6353,6065.6,94.82,1.563,0.0,98.44
2020-10-04,United Kingdom,Europe,67000000,9366,223,415761,6576,6205.39,98.15,1.582,0.0,98.42
2020-10-11,United Kingdom,Europe,67000000,8978,191,424739,6767,6339.39,101.0,1.593,0.0,98.41
2020-10-18,United Kingdom,Europe,67000000,12270,201,437009,6968,6522.52,104.0,1.594,0.0,98.41
2020-10-25,United Kingdom,Europe,67000000,9295,145,446304,7113,6661.25,106.16,1.594,0.0,98.41
2020-11-01,United Kingdom,Europe,67000000,8083,186,454387,7299,6781.9,108.94,1.606,0.0,98.39
2020-11-08,United Kingdom,Europe,67000000,9064,208,463451,7507,6917.18,112.04,1.62,0.0,98.38
2020-11-15,United Kingdom,Europe,67000000,6869,170,470320,7677,7019.7,114.58,1.632,0.0,98.37
2020-11-22,United Kingdom,Europe,67000000,8346,73,478666,7750,7144.27,115.67,1.619,0.0,98.38
2020-11-29,United Kingdom,Europe,67000000,5975,123,484641,7873,7233.45,117.51,1.625,0.0,98.38
2020-12-06,United Kingdom,Europe,67000000,8630,186,493271,8059,7362.25,120.28,1.634,0.0,98.37
2020-12-13,United Kingdom,Europe,67000000,5706,49,498977,8108,7447.42,121.01,1.625,0.0,98.38
2020-12-20,United Kingdom,Europe,67000000,7098,103,506075,8211,7553.36,122.55,1.622,0.0,98.38
2020-12-27,United Kingdom,Europe,67000000,6483,161,512558,8372,7650.12,124.96,1.633,0.0,98.37
2021-01-03,United Kingdom,Europe,67000000,7946,190,520504,8562,7768.72,127.79,1.645,0.0,98.36
2021-01-10,United Kingdom,Europe,67000000,6726,94,527230,8656,7869.1,129.19,1.642,0.0,98.36
2021-01-17,United Kingdom,Europe,67000000,5009,86,532239,8742,7943.87,130.48,1.642,0.0,98.36
2021-01-24,United Kingdom,Europe,67000000,5775,52,538014,8794,8030.06,131.25,1.635,0.0,98.36
2021-01-31,United Kingdom,Europe,67000000,4146,38,542160,8832,8091.94,131.82,1.629,0.0,98.37
2021-02-07,United Kingdom,Europe,67000000,3894,90,546054,8922,8150.06,133.16,1.634,0.0,98.37
2021-02-14,United Kingdom,Europe,67000000,3941,46,549995,8968,8208.88,133.85,1.631,0.0,98.37
2021-02-21,United Kingdom,Europe,67000000,3696,71,553691,9039,8264.04,134.91,1.632,0.0,98.37
2021-02-28,United Kingdom,Europe,67000000,1678,20,555369,9059,8289.09,135.21,1.631,0.0,98.37
2021-03-07,United Kingdom,Europe,67000000,1604,14,556973,9073,8313.03,135.42,1.629,0.36,98.37
2021-03-14,United Kingdom,Europe,67000000,1349,31,558322,9104,8333.16,135.88,1.631,0.91,98.37
2021-03-21,United Kingdom,Europe,67000000,751,12,559073,9116,8344.37,136.06,1.631,1.67,98.37
2021-03-28,United Kingdom,Europe,67000000,1100,26,560173,9142,8360.79,136.45,1.632,2.88,98.37
2021-04-04,United Kingdom,Europe,67000000,1335,14,561508,9156,8380.72,136.66,1.631,4.11,98.37
2021-04-11,United Kingdom,Europe,67000000,1061,19,562569,9175,8396.55,136.94,1.631,5.37,98.37
2021-04-18,United Kingdom,Europe,67000000,1405,24,563974,9199,8417.52,137.3,1.631,6.8,98.37
2021-04-25,United Kingdom,Europe,67000000,1329,16,565303,9215,8437.36,137.54,1.63,8.56,98.37
2021-05-02,United Kingdom,Europe,67000000,2389,39,567692,9254,8473.01,138.12,1.63,9.76,98.37
2021-05-09,United Kingdom,Europe,67000000,3436,66,571128,9320,8524.3,139.1,1.632,11.15,98.37
2021-05-16,United Kingdom,Europe,67000000,3852,47,574980,9367,8581.79,139.81,1.629,12.68,98.37
2021-05-23,United Kingdom,Europe,67000000,3911,45,578891,9412,8640.16,140.48,1.626,14.47,98.37
2021-05-30,United Kingdom,Europe,67000000,4695,82,583586,9494,8710.24,141.7,1.627,15.78,98.37
2021-06-06,United Kingdom,Europe,67000000,3331,44,586917,9538,8759.96,142.36,1.625,17.43,98.38
2021-06-13,United Kingdom,Europe,67000000,4309,73,591226,9611,8824.27,143.45,1.626,19.07,98.37
2021-06-20,United Kingdom,Europe,67000000,4163,81,595389,9692,8886.4,144.66,1.628,20.32,98.37
2021-06-27,United Kingdom,Europe,67000000,7514,122,602903,9814,8998.55,146.48,1.628,21.61,98.37
2021-07-04,United Kingdom,Europe,67000000,5699,85,608602,9899,9083.61,147.75,1.627,23.27,98.37
2021-07-11,United Kingdom,Europe,67000000,7679,141,616281,10040,9198.22,149.85,1.629,24.53,98.37
2021-07-18,United Kingdom,Europe,67000000,5610,53,621891,10093,9281.96,150.64,1.623,26.08,98.38
2021-07-25,United Kingdom,Europe,67000000,9164,140,631055,10233,9418.73,152.73,1.622,27.37,98.38
2021-08-01,United Kingdom,Europe,67000000,8110,176,639165,10409,9539.78,155.36,1.629,29.02,98.37
2021-08-08,United Kingdom,Europe,67000000,10060,128,649225,10537,9689.93,157.27,1.623,30.33,98.38
2021-08-15,United Kingdom,Europe,67000000,10461,200,659686,10737,9846.06,160.25,1.628,31.72,98.37
2021-08-22,United Kingdom,Europe,67000000,10121,221,669807,10958,9997.12,163.55,1.636,33.29,98.36
2021-08-29,United Kingdom,Europe,67000000,10166,146,679973,11104,10148.85,165.73,1.633,34.81,98.37
2021-09-05,United Kingdom,Europe,67000000,9555,214,689528,11318,10291.46,168.93,1.641,36.52,98.36
2021-09-12,United Kingdom,Europe,67000000,11615,95,701143,11413,10464.82,170.34,1.628,38.17,98.37
2021-09-19,United Kingdom,Europe,67000000,11470,224,712613,11637,10636.01,173.69,1.633,39.82,98.37
2021-09-26,United Kingdom,Europe,67000000,12240,195,724853,11832,10818.7,176.6,1.632,41.32,98.37
2021-10-03,United Kingdom,Europe,67000000,8031,116,732884,11948,10938.57,178.33,1.63,42.91,98.37
2021-10-10,United Kingdom,Europe,67000000,12330,144,745214,12092,11122.6,180.48,1.623,44.19,98.38
2021-10-17,United Kingdom,Europe,67000000,11773,94,756987,12186,11298.31,181.88,1.61,45.5,98.39
2021-10-24,United Kingdom,Europe,67000000,7801,84,764788,12270,11414.75,183.13,1.604,46.81,98.4
2021-10-31,United Kingdom,Europe,67000000,10263,152,775051,12422,11567.93,185.4,1.603,48.53,98.4
2021-11-07,United Kingdom,Europe,67000000,11182,226,786233,12648,11734.82,188.78,1.609,49.79,98.39
2021-11-14,United Kingdom,Europe,67000000,9359,186,795592,12834,11874.51,191.55,1.613,51.02,98.39
2021-11-21,United Kingdom,Europe,67000000,11185,203,806777,13037,12041.45,194.58,1.616,52.59,98.38
2021-11-28,United Kingdom,Europe,67000000,8084,108,814861,13145,12162.1,196.19,1.613,54.17,98.39
2021-12-05,United Kingdom,Europe,67000000,8965,177,823826,13322,12295.91,198.84,1.617,55.81,98.38
2021-12-12,United Kingdom,Europe,67000000,14656,169,838482,13491,12514.66,201.36,1.609,57.51,98.39
2021-12-19,United Kingdom,Europe,67000000,11498,164,849980,13655,12686.27,203.81,1.607,58.78,98.39
2021-12-26,United Kingdom,Europe,67000000,12933,155,862913,13810,12879.3,206.12,1.6,60.21,98.4
2022-01-02,United Kingdom,Europe,67000000,8323,179,871236,13989,13003.52,208.79,1.606,61.87,98.39
2022-01-09,United Kingdom,Europe,67000000,12792,167,884028,14156,13194.45,211.28,1.601,63.17,98.4
2022-01-16,United Kingdom,Europe,67000000,12054,198,896082,14354,13374.36,214.24,1.602,64.48,98.4
2022-01-23,United Kingdom,Europe,67000000,12263,304,908345,14658,13557.39,218.78,1.614,66.13,98.39
2022-01-30,United Kingdom,Europe,67000000,12483,301,920828,14959,13743.7,223.27,1.625,67.45,98.38
2022-02-06,United Kingdom,Europe,67000000,11198,276,932026,15235,13910.84,227.39,1.635,68.75,98.36
2022-02-13,United Kingdom,Europe,67000000,11896,213,943922,15448,14088.39,230.57,1.637,70.3,98.36
2022-02-20,United Kingdom,Europe,67000000,11688,278,955610,15726,14262.84,234.72,1.646,71.97,98.35
2022-02-27,United Kingdom,Europe,67000000,7529,169,963139,15895,14375.21,237.24,1.65,73.3,98.35
2022-03-06,United Kingdom,Europe,67000000,9317,147,972456,16042,14514.27,239.43,1.65,74.79,98.35
2022-03-13,United Kingdom,Europe,67000000,9460,226,981916,16268,14655.46,242.81,1.657,76.42,98.34
2022-03-20,United Kingdom,Europe,67000000,10369,91,992285,16359,14810.22,244.16,1.649,78.16,98.35
2022-03-27,United Kingdom,Europe,67000000,11670,248,1003955,16607,14984.4,247.87,1.654,79.36,98.35
2022-04-03,United Kingdom,Europe,67000000,6691,79,1010646,16686,15084.27,249.04,1.651,80.64,98.35
2022-04-10,United Kingdom,Europe,67000000,8306,196,1018952,16882,15208.24,251.97,1.657,82.12,98.34
2022-04-17,United Kingdom,Europe,67000000,6062,77,1025014,16959,15298.72,253.12,1.655,83.35,98.34
2022-04-24,United Kingdom,Europe,67000000,5970,75,1030984,17034,15387.82,254.24,1.652,84.72,98.35
2022-05-01,United Kingdom,Europe,67000000,9345,229,1040329,17263,15527.3,257.66,1.659,86.14,98.34
2022-05-08,United Kingdom,Europe,67000000,7335,164,1047664,17427,15636.78,260.1,1.663,87.5,98.34
2022-05-15,United Kingdom,Europe,67000000,5830,131,1053494,17558,15723.79,262.06,1.667,88.73,98.33
2022-05-22,United Kingdom,Europe,67000000,7523,132,1061017,17690,15836.07,264.03,1.667,90.14,98.33
2022-05-29,United Kingdom,Europe,67000000,5945,125,1066962,17815,15924.81,265.9,1.67,91.39,98.33
2022-06-05,United Kingdom,Europe,67000000,5530,113,1072492,17928,16007.34,267.58,1.672,92.0,98.33
2022-06-12,United Kingdom,Europe,67000000,5338,122,1077830,18050,16087.01,269.4,1.675,92.0,98.33
2022-06-19,United Kingdom,Europe,67000000,8582,183,1086412,18233,16215.1,272.13,1.678,92.0,98.32
2022-06-26,United Kingdom,Europe,67000000,7438,183,1093850,18416,16326.12,274.87,1.684,92.0,98.32
2022-07-03,United Kingdom,Europe,67000000,8793,98,1102643,18514,16457.36,276.33,1.679,92.0,98.32
2022-07-10,United Kingdom,Europe,67000000,7100,171,1109743,18685,16563.33,278.88,1.684,92.0,98.32
2022-07-17,United Kingdom,Europe,67000000,6710,56,1116453,18741,16663.48,279.72,1.679,92.0,98.32
2022-07-24,United Kingdom,Europe,67000000,8122,77,1124575,18818,16784.7,280.87,1.673,92.0,98.33
2022-07-31,United Kingdom,Europe,67000000,9024,222,1133599,19040,16919.39,284.18,1.68,92.0,98.32
2022-08-07,United Kingdom,Europe,67000000,8500,146,1142099,19186,17046.25,286.36,1.68,92.0,98.32
2022-08-14,United Kingdom,Europe,67000000,9511,175,1151610,19361,17188.21,288.97,1.681,92.0,98.32
2022-08-21,United Kingdom,Europe,67000000,11414,174,1163024,19535,17358.57,291.57,1.68,92.0,98.32
2022-08-28,United Kingdom,Europe,67000000,10592,123,1173616,19658,17516.66,293.4,1.675,92.0,98.33
2022-09-04,United Kingdom,Europe,67000000,11955,189,1185571,19847,17695.09,296.22,1.674,92.0,98.33
2022-09-11,United Kingdom,Europe,67000000,8732,186,1194303,20033,17825.42,299.0,1.677,92.0,98.32
2022-09-18,United Kingdom,Europe,67000000,9261,228,1203564,20261,17963.64,302.4,1.683,92.0,98.32
2022-09-25,United Kingdom,Europe,67000000,10254,141,1213818,20402,18116.69,304.51,1.681,92.0,98.32
2022-10-02,United Kingdom,Europe,67000000,10668,222,1224486,20624,18275.91,307.82,1.684,92.0,98.32
2022-10-09,United Kingdom,Europe,67000000,7455,75,1231941,20699,18387.18,308.94,1.68,92.0,98.32
2022-10-16,United Kingdom,Europe,67000000,8426,104,1240367,20803,18512.94,310.49,1.677,92.0,98.32
2022-10-23,United Kingdom,Europe,67000000,11023,228,1251390,21031,18677.46,313.9,1.681,92.0,98.32
2022-10-30,United Kingdom,Europe,67000000,11024,105,1262414,21136,18842.0,315.46,1.674,92.0,98.33
2022-11-06,United Kingdom,Europe,67000000,9318,136,1271732,21272,18981.07,317.49,1.673,92.0,98.33
2022-11-13,United Kingdom,Europe,67000000,9904,155,1281636,21427,19128.9,319.81,1.672,92.0,98.33
2022-11-20,United Kingdom,Europe,67000000,8105,125,1289741,21552,19249.87,321.67,1.671,92.0,98.33
2022-11-27,United Kingdom,Europe,67000000,8684,83,1298425,21635,19379.48,322.91,1.666,92.0,98.33
2022-12-04,United Kingdom,Europe,67000000,12293,156,1310718,21791,19562.96,325.24,1.663,92.0,98.34
2022-12-11,United Kingdom,Europe,67000000,11489,130,1322207,21921,19734.43,327.18,1.658,92.0,98.34
2022-12-18,United Kingdom,Europe,67000000,10626,165,1332833,22086,19893.03,329.64,1.657,92.0,98.34
2022-12-25,United Kingdom,Europe,67000000,8312,153,1341145,22239,20017.09,331.93,1.658,92.0,98.34
2023-01-01,United Kingdom,Europe,67000000,12721,138,1353866,22377,20206.96,333.99,1.653,92.0,98.35
2023-01-08,United Kingdom,Europe,67000000,10727,91,1364593,22468,20367.06,335.34,1.646,92.0,98.35
